sample,absolute_purity,nnls,svr,cibersortx,cibersortx_smode,elastic_net,bayesian,bayesian_hierarchical,music,bisque,scdc,scdc_ensemble,epic,bayesprism
TCGA-HW-7489-01A,0.67,0.1652288477938282,0.25164201762774036,0.104852352956597,0.022317017574689575,0.08205438027046696,0.1012628921642931,0.11257398171917846,0.3031859156125869,0.2828811502016561,0.4894213419151568,0.4894213419151568,0.0652638403901142,0.21363369451248565
TCGA-HW-7490-01A,0.87,0.2351574160821991,0.17528445730865766,0.08197527710558611,0.12016233756497911,0.09341337467038444,0.02457260324047511,0.028457674912705403,0.277198223307507,0.27756985997580796,0.41087151515264514,0.41087151515264514,0.11966001181633447,0.7135758482739953
TCGA-HW-7491-01A,0.92,0.10097444823283917,0.1736279589291834,0.1328452997041857,0.0008612689272939738,0.0588629965780694,0.20123550355529146,0.2047635479171907,0.3544651515025,0.28304503984681395,0.41482414156751846,0.41482414156751846,0.043428522149963386,0.09455421111571044
TCGA-HW-7493-01A,0.67,0.27395444204895264,0.15507983139720294,0.08752947594754047,0.05102491348983004,0.10794168413020415,0.05716028081295265,0.06427117096839333,0.3806143977384688,0.27475853976495107,0.48284220855816445,0.48284220855816445,0.12839659405575235,0.8836805628204423
TCGA-HW-7495-01A,0.72,0.049671673309147776,0.12082289204434248,0.010944023013066007,0.015932855080572877,0.03294358384910136,0.03880843348101751,0.03816064550876639,0.15426026073670324,0.2219274906672119,0.26346314772048196,0.26346314772048196,0.011245586146405459,0.15803249000234348
TCGA-HW-8319-01A,0.82,0.2092382283912808,0.35903857371963527,0.2136314488671297,0.019320529585423685,0.10057083264465888,0.1298168014862715,0.13867688010141596,0.4501684458895671,0.3048133609965501,0.6573508006562272,0.6573508006562272,0.07671725388210514,0.4222740007169564
TCGA-HW-8320-01A,0.47,0.16092571747396256,0.319627395265314,0.23585726328921172,0.0244521810550562,0.07446084552033426,0.10868645387531331,0.11581347447275527,0.6241394575498781,0.31537141400903485,0.6525421380807533,0.6525421380807533,0.07810286698984656,0.36032382220360104
TCGA-HW-8321-01A,0.75,0.1319854016746671,0.2351211752707571,0.10471451350260266,0.014255845488594656,0.06517316430591119,0.09916117600602634,0.10270867469474657,0.43508786797403604,0.2443106578319891,0.4330458970956246,0.4330458970956246,0.05977899500301826,0.2864537509851647
TCGA-HW-8322-01A,0.9,0.14174721754330719,0.3376083818045195,0.2885061017456611,0.013532548337929584,0.07154266922499684,0.20463435855466874,0.21967658585940872,0.5723702413747581,0.29371569034307105,0.6072204500677478,0.6072204500677478,0.0612831137580015,0.3027852227914845
TCGA-HW-A5KJ-01A,0.82,0.2586113888845743,0.23756579841979952,0.08826211441572279,0.0075125851018254634,0.11931114241192146,0.17920989116478578,0.1829482329238062,0.3539866984714178,0.24603825100937188,0.30471624333699604,0.30471624333699604,0.13926709048359964,0.6247351062540306
TCGA-HW-A5KK-01A,0.29,0.5600740305868628,0.08731383904482048,0.21321732080593161,0.12306285199720125,0.10929113142172227,0.003514740188767586,9.695454614159242e-15,0.24688955733759668,0.21926147416855485,0.2404861798573226,0.2404861798573226,0.29030612780679876,0.9176655902930501
TCGA-HW-A5KL-01A,0.79,0.3615471617556119,0.11390149846297701,0.07815044856846966,0.08676919630286467,0.09980055188333228,0.11244121960023214,0.1209164333918614,0.3619976055231807,0.29781020668624386,0.45624530150543735,0.45624530150543735,0.1881436961670366,0.957256347323027
