"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"TCGA-76-6662-01",0.0139576714000632,0.00767108985588606,0.0475306046798,0.00909838083334526,0.434241091819357,0.487501161411549,0
"TCGA-06-6701-01",0.130681033125814,0.0625869654867446,0.169186720779087,0,0.442593474967101,0,0.194951805641254
"TCGA-14-0736-01",0.0400688408399677,0.145622024088643,0.139898768671514,0,0.625270214375987,0,0.0491401520238875
"TCGA-74-6573-01",0,0.125218663961262,0,0.0321789349271026,0.785269457826039,0,0.0573329432855964
"TCGA-19-5955-01",0.0150339538929957,0.122339188975626,0.129424115643115,0,0.619035743164794,0,0.114166998323469
"TCGA-76-6656-01",0,0.0430685079260109,0.111887598987084,0,0.744568520150999,0,0.100475372935905
"TCGA-06-A5U0-01",0.222810589318451,0.00251942597494295,0.28839233290781,0,0.345205472825874,0,0.141072178972922
"TCGA-74-6584-01",0.0830233776649613,0.0946273213748072,0.101334379948217,0,0.480456010400834,0,0.24055891061118
"TCGA-06-1804-01",0.0297693696904007,0,0.199015160910703,0,0.615460639980421,0,0.155754829418475
"TCGA-19-5952-01",0.00279561855158235,0.162587576528206,0.132012748361193,0,0.624314520837028,0,0.0782895357219902
"TCGA-19-A6J5-01",0.0652728396284593,0,0,0.240206527267028,0.418176046780736,0,0.276344586323776
"TCGA-06-6697-01",0.000721765692697807,0.00773030469794992,0.0870076796555751,0,0.868406601987813,0,0.0361336479659639
"TCGA-RR-A6KA-01",0.096128380536584,0.00873998388293092,0.170000902443926,0.0430400666010382,0.491157842202236,0,0.190932824333285
"TCGA-06-6388-01",0.135766968928509,0.13290592238328,0.13146018935105,0,0.460418118045438,0,0.139448801291722
"TCGA-19-5953-01",0.0628089433948259,0.0499756190747159,0.154377137448537,0,0.588256535064516,0,0.144581765017405
"TCGA-19-5958-01",0.0505134943287445,0.0653246848153271,0.181341810672229,0,0.618271010985981,0,0.0845489991977175
"TCGA-19-1389-01",0.0337974635706218,0.0735894554355779,0.112579260212186,0,0.684602215113561,0,0.0954316056680531
"TCGA-41-6646-01",0,0.0149800958594606,0,0,0.855287631960038,0,0.129732272180501
"TCGA-28-5211-01",0,0.104661460369549,0.0368683109191666,0,0.370452431402277,0.488017797309007,0
"TCGA-76-6663-01",0.1242571200493,0.0840040442157541,0.221494238863152,0,0.44874363499822,0,0.121500961873574
"TCGA-76-6660-01",0,0.0285282515314385,0.0407914787911199,0,0.686075481333437,0,0.244604788344004
"TCGA-06-5410-01",0.0046175968726374,0,0.0139555711975686,0,0.526253969709049,0.455172862220745,0
"TCGA-26-6173-01",0.0402315903060256,0.121400816544883,0.153343632149843,0,0.599749801244695,0,0.0852741597545533
"TCGA-19-5956-01",0,0,0.157253448559297,0,0.518546619196968,0,0.324199932243735
"TCGA-76-6285-01",0.00275456188298651,0.069948879692997,0.0678165739978562,0,0.614194510160288,0,0.245285474265872
"TCGA-14-1043-01",0.0532259863875775,0.0637153606392029,0.129806690009347,0,0.623334806496042,0,0.129917156467831
"TCGA-14-1034-02",0,0.326318647274645,0.128869168873716,0,0.521763421298949,0,0.0230487625526895
"TCGA-06-6698-01",0.0126334948399597,0.0422005074304268,0.159215836589106,0,0.785950161140507,0,0
"TCGA-76-6191-01",0.0423194030999491,0.159380509227844,0.143488876141927,0,0.496493086593455,0,0.158318124936825
"TCGA-81-5911-01",0.00953210049257765,0.145808173273679,0.181199796338524,0,0.601144897025487,0,0.0623150328697322
"TCGA-06-6695-01",0.0240129741467131,0.0707090774464439,0,0,0.735267511134161,0,0.170010437272682
