"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"ENPEP",5.77827599357456e-06,7.86944322332394e-05,2.32333702684348e-05,1.22361279017977e-05,2.39577343899736e-05,0.000102859986030179,0.00253416608403868,0.000201339139392237
"PCSK2",1.92609199785819e-06,3.52768144493832e-05,1.2510276298388e-05,0.000418475574241482,0.0011718457038574,0.000605199452689191,3.18763029438828e-06,5.15053612398745e-05
"TAGLN3",2.118701197644e-05,0.000116684847794114,1.2510276298388e-05,0.00330130730790503,0.00296346757997717,0.000662609677450221,7.43780402023933e-06,9.83284169124877e-05
"INA",1.73348279807237e-05,3.52768144493832e-05,1.78718232834114e-06,0.00110859318790287,0.000823937734889961,0.000605199452689191,1.06254343146276e-06,7.02345835089198e-05
"OR51E1",2.118701197644e-05,1.35680055574551e-05,5.36154698502341e-06,2.44722558035955e-06,5.20820312825513e-06,1.67446488886337e-05,0.00108485684352348,4.68230556726132e-06
"MBP",1.92609199785819e-06,0.00400798884167223,0.000180505415162455,0.0950184276086201,7.29148437955718e-06,0.00181559835806757,1.06254343146276e-06,7.02345835089198e-05
"RGS4",4.81522999464546e-05,0.000491161801179874,1.78718232834114e-06,0.000643620327634561,0.00478633867486646,2.39209269837625e-06,7.96907573597071e-05,0.000173245305988669
"RIMS2",5.2004483942171e-05,1.35680055574551e-05,5.36154698502341e-06,0.000736614899688223,0.00175308117297068,0.00075829338538527,2.86886726494945e-05,7.02345835089198e-05
"RGS5",2.118701197644e-05,2.71360111149102e-06,1.60846409550702e-05,0.00177423854576067,0.00179474679799672,0.000136349283807446,0.0295673960673143,0.000229432972795805
"NNAT",5.77827599357456e-06,2.44224100034191e-05,0.000184079779819137,0.000947076299599144,0.000117705390698566,0.00275329869583106,1.06254343146276e-06,9.83284169124877e-05
"ITGA1",3.65957479593055e-05,6.24128255642934e-05,1.2510276298388e-05,2.44722558035955e-06,2.39577343899736e-05,3.10972050788912e-05,0.00651020360457234,0.000238797583930327
"MOBP",2.50391959721564e-05,0.000295782521152521,8.93591164170569e-06,0.00277270658254737,0.000411448047132155,0.000925739874271608,1.38130646090159e-05,4.68230556726132e-06
"CD93",0.000121343795865066,0.000697395485653191,3.39564642384816e-05,7.34167674107864e-06,3.12492187695308e-06,0.000169838581584714,0.00631682070004611,4.68230556726132e-06
"ELTD1",1.92609199785819e-06,0.000491161801179874,0.000323480001429746,3.67083837053932e-05,0.000207286484504554,0.000294227401900278,0.00592155454354197,0.000117057639181533
"MAP7D2",3.65957479593055e-05,8.14080333447305e-06,5.36154698502341e-06,0.000976443006563459,0.00106143179753839,8.85074298399212e-05,1.38130646090159e-05,0.000135786861450578
