sample_id,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-06-0125-02A,svr,0.8043847114694562,0.0864551206199356,0.0,0.001444012198640057,0.00144896701593871,0.06291394630273725,0.010277434046618504,0.0330758083466738
TCGA-06-0129-01A,svr,0.7753632101296787,0.16641805050602138,0.0,0.0,0.012496498269565736,0.015923753009348365,0.026499965964704077,0.0032985221206818793
TCGA-06-0130-01A,svr,0.22841363083922475,0.5138572224568029,0.017966113588042145,0.006311277325130009,0.1172389794624568,0.10559893061949134,0.00718483471904874,0.0034290109898034967
TCGA-06-0132-01A,svr,0.4131797543271981,0.31065998861253113,0.0,0.0,0.0316212358218931,0.04964382520224369,0.14674177248687784,0.04815342354925615
TCGA-06-0141-01A,svr,0.4949796175060027,0.31766873990320493,0.0,0.0,0.05115121493024714,0.057720507292697044,0.031021637872787586,0.04745828249506047
TCGA-06-0152-02A,svr,0.7719644141311006,0.12365709839731742,0.0,0.002326766427811503,0.0,0.08700821203493327,0.0,0.015043509008837223
TCGA-06-0157-01A,svr,0.8856983976788316,0.0564705073117208,0.0,0.0,0.0,0.03851187756776288,0.0,0.019319217441684782
TCGA-06-0158-01A,svr,0.6581764103953538,0.1205992654069067,0.0,0.003666378893608277,0.0,0.11571071051981999,0.053979675297904574,0.04786755948640668
TCGA-06-0168-01A,svr,0.6013529149824982,0.20893864093528478,0.0,0.0,0.03470552573375531,0.09429244860548708,0.011631998938186696,0.04907847080478807
TCGA-06-0171-02A,svr,0.12578937775731105,0.7137270361824126,0.0,0.001024618753989576,0.0,0.08643128409278102,0.05213831041184544,0.020889372801660245
TCGA-06-0174-01A,svr,0.9260380605786934,0.028844801707283485,0.0,0.0,0.0,0.03131710964976349,0.009945840905862256,0.0038541871583973705
TCGA-06-0184-01A,svr,0.3440416448533382,0.351107677606585,0.0002373686152586981,0.0,0.03937780492812105,0.12269657173646167,0.07805185427471042,0.06448707798552485
TCGA-06-0187-01A,svr,0.6443596280950866,0.15377965646428005,0.0,0.001837050615129479,0.012161945148783366,0.12619747636317682,0.0,0.06166424331354362
TCGA-06-0190-01A,svr,0.5718094837387209,0.2467849582194671,0.0,0.0,0.013630298902070789,0.14487342159846556,0.0020394072774485915,0.02086243026382695
TCGA-06-0190-02A,svr,0.4672110234093483,0.271095777394998,0.013402854815131452,0.0,0.038920512128263286,0.20658535128617486,0.0,0.0027844809660841604
TCGA-06-0210-02A,svr,0.5464224873706803,0.26444677903060876,0.0,0.0018189504411844078,5.0319467401546805e-05,0.080751107161863,0.07568824430496356,0.030822112223298385
TCGA-06-0211-01B,svr,0.8094615665419169,0.07031905508689676,0.0,0.0,0.019772271403587463,0.0776296508281092,0.0,0.02281745613948968
TCGA-06-0211-02A,svr,0.6749856279996302,0.20317677363581138,0.0,0.0,0.02600708524390293,0.08441972647700281,0.0,0.011410786643652582
TCGA-06-0219-01A,svr,0.6224196762552326,0.08647281033606603,0.0,0.0004427338083178069,0.08284562643807276,0.03739028154893041,0.13717851143685314,0.0332503601765271
TCGA-06-0221-02A,svr,0.7068148980147716,0.017510432360064814,0.0,0.0,0.056448254898500014,0.013778683909972151,0.14524066506804648,0.06020706574864506
TCGA-06-0238-01A,svr,0.7131901555345065,0.11750156859742727,0.0,0.0,0.05346072794346746,0.02742843623377581,0.07999997076597422,0.008419140924848703
TCGA-06-0644-01A,svr,0.6053106398967028,0.245249343629829,0.007224596612227124,0.0,0.012505332607906787,0.10423905389174892,0.009162196291227958,0.01630883707035739
TCGA-06-0645-01A,svr,0.4924380179104205,0.35950262300624874,0.0,0.0,0.000856940273064622,0.11136110823260757,0.01643804543563455,0.019403265142024045
TCGA-06-0646-01A,svr,0.7937102224790447,0.12802134850282762,0.0,0.00044318950496440837,0.0,0.06106027220946072,0.0021283218169304862,0.014636645486772026
