	Tumor	Macrophage_Microglia	T_cell	NK_cell	B_cell	Endothelial	Oligodendrocyte	Astrocyte
KIF24	4.529321255897903	2.1664539680398414	0.03423256691500242	0.011081748593753996	0.0	1.812118085522761	2.081955839938199	6.081549731882288
KIF25	0.5049212104365374	0.0042235909327332476	0.0	0.0	0.0	0.018791801227234128	3.1030862903137515	5.167780862079424
KIF26A	0.14627155738267478	0.019102085466225674	0.1223623862668877	0.0	0.0	0.020838875596574626	0.0032947100312060063	0.19184648588911257
KIF26B	7.118287602726368	1.2008777513178985	1.1417550443396538	0.6791227297026694	4.362993586507907	0.17323731169296736	0.026803884566658505	0.005096340008670945
KIF27	29.103383678923265	4.151962489415982	10.583082721897185	360.58222102091923	16.393334296940118	3.9987129818629357	13.3180618204456	26.01215420614451
KIF2A	27.57401403952419	14.25672469543045	25.719846090161543	4.29497237223029	10.703393340585146	18.68607300327856	23.74131149312406	22.577256288721806
KIF2C	39.5011397429402	55.46677256329327	2.906037597883845	14.742696224612073	9.517221012552438	2.9557630162311503	1.1299210737978416	0.31247225823395086
KIF3A	46.48671507352801	9.861337582938	13.371825007878979	6.119305055255946	11.082505986409386	46.28448709768692	41.59755056339166	66.64348262569631
KIF3B	15.004974196310739	6.859452671156756	12.043773067288067	1.1768758650390791	6.000696553541694	6.920515133892246	4.704518028428811	9.940250017942262
KIF3C	35.16135160797032	9.249610590029532	4.555339142225594	0.29413959423486286	0.7507731331983293	1.5432684260768303	26.623028714575607	0.8960391097762136
KIF4A	30.20565714523169	12.875129272179311	0.31347569508023115	1.8755356688162814	7.076708863140441	1.6538870132245678	0.7029919963580917	0.4131943470520044
KIF4B	0.11371801651107569	0.0014082212538402523	0.0	0.0	0.0	0.019736407678780862	0.0006315105986007255	0.0
KIF5A	89.44445704770713	0.8874427585346667	8.061849665366195	0.6868850440293585	5.405795039319114	1.1081732565126932	22.59384372853822	308.3934043577916
KIF5B	109.60467028930967	84.08502939975745	102.43923341433685	27.398185626627527	61.064648876656534	258.1363084609891	82.61250069904348	41.46718097385182
KIF5C	57.94361930513635	1.1536055491119146	32.47844124414623	1.4918830876110198	7.956248543010077	25.63265229360647	108.77763845911676	8.36188370879568
KIF6	1.0769628768741337	0.21170813749470122	0.1757318725510325	0.0	0.14209801458653976	0.0	87.12233312753055	31.984616170360603
KIF7	8.710690520065603	0.07412304359011375	0.014734106950623186	116.22613346288158	0.0	1.6489578011427222	0.05955526908498127	72.66528097420363
KIF9	10.714993541310136	3.5264690433114985	18.56891913483648	0.6767109450949836	16.83154257243861	18.24797254091533	3.0193590586091754	8.469813745377067
KIFAP3	107.50298260392812	15.513092024930616	30.275156271970435	3.846152393998287	38.67127128094204	46.16426331149136	114.823236892156	163.44103440803596
